"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Cdca2";3,50021301058551e-06;-0,817833522549688;0,121;0,581;0,00275816785234138
"Wnt5a";3,58823290970208e-06;-0,731201815705788;0,152;0,649;0,00282752753284524
"Neurog1";3,69838649878291e-06;-0,895034590018412;0,03;0,554;0,00291432856104093
"Ncan";3,76729281812113e-06;-0,746496232372737;0,121;0,676;0,00296862674067945
"Smc2";3,83206923654074e-06;-0,776966333965817;0,424;0,784;0,0030196705583941
"Fbxo5";3,85628764769112e-06;-0,762269703204539;0,242;0,689;0,0030387546663806
"Fabp5";4,33311081527596e-06;-0,688310784507224;0,576;0,905;0,00341449132243746
"Cd24a";4,34791109530495e-06;-0,658565068389502;0,848;0,919;0,0034261539431003
"Ybx1";5,19530241776229e-06;-0,472965627448367;0,97;1;0,00409389830519668
"Pou3f2";5,55218982898787e-06;-0,836676384079811;0,182;0,568;0,00437512558524244
"Dennd5b";6,38200595301874e-06;-0,769632494833514;0,182;0,797;0,00502902069097877
"Tbr1";6,4044115563109e-06;-1,02204770265883;0,061;0,541;0,00504667630637299
"Slc17a6";6,69293204700408e-06;-1,00814524513678;0,03;0,554;0,00527403045303921
"St8sia2";6,82518301444822e-06;-0,68392395129284;0,424;0,77;0,0053782442153852
"Incenp";7,43493341181311e-06;-0,736656276306525;0,242;0,595;0,00585872752850873
"Rtn1";7,92095658250534e-06;-0,92474859787453;0,394;0,716;0,00624171378701421
"Aspm";9,46749968477261e-06;-0,890570139182193;0,121;0,486;0,00746038975160082
"Nrp2";1,02062882292763e-05;-0,757965531828507;0,121;0,581;0,0080425551246697
"Kpna2";1,15935029978775e-05;-0,991461776269663;0,424;0,622;0,0091356803623275
"Plk1";1,21306193836021e-05;-0,92187961298414;0,242;0,486;0,00955892807427848
"Uchl1";1,23033802461383e-05;-0,616202804512589;0,576;0,824;0,00969506363395702
"Mthfd2";1,32508577659098e-05;-0,626681933000255;0,303;0,689;0,0104416759195369
"Pantr1";1,41923592309859e-05;-0,674888169435208;0,424;0,865;0,0111835790740169
"Rufy3";1,60028033298372e-05;-0,711663801689774;0,121;0,595;0,0126102090239117
"Aurkb";1,61532432706496e-05;-0,894909234325285;0,03;0,554;0,0127287556972719
"Zfp462";1,67097633383635e-05;-0,681526989105511;0,485;0,905;0,0131672935106304
"Msi2";2,00488918288322e-05;-0,568647604920609;0,515;0,905;0,0157985267611198
"Prdx1";2,03236169899775e-05;-0,592931031829635;0,818;0,946;0,0160150101881023
"Arl6ip1";2,12710115847158e-05;-0,961507322558819;0,788;0,838;0,0167615571287561
"Npm1";2,19318526885239e-05;-0,471033297460811;1;1;0,0172822999185568
"Cdc42ep4";2,33991756105564e-05;-0,640608040281759;0,424;0,797;0,0184385503811184
"Rif1";2,48355742302132e-05;-0,5829876551769;0,485;0,811;0,019570432493408
"Nusap1";2,58881875188837e-05;-0,842518921315358;0,303;0,514;0,0203998917648804
"Noct";2,59561785041908e-05;-0,585949453688989;0,606;0,838;0,0204534686613023
"Ndn";2,65133448269343e-05;-0,629580748703691;0,364;0,77;0,0208925157236243
"1810041L15Rik";2,83915252238189e-05;-0,784800616567726;0,061;0,581;0,0223725218763693
"Ckap2";2,88879145267785e-05;-0,687520896512371;0,364;0,635;0,0227636766471014
"Tubb4b";2,91733049944871e-05;-0,790864194848845;0,455;0,77;0,0229885643356559
"Ccnb2";3,19984988715579e-05;-0,753297208619774;0,333;0,595;0,0252148171107876
"Pak3";3,22022906974455e-05;-0,890693358097235;0,333;0,608;0,0253754050695871
"Rasgef1b";3,24175560518817e-05;-0,615735244696878;0,182;0,622;0,0255450341688828
"Lockd";3,58705432878349e-05;-0,594428583832259;0,333;0,703;0,0282659881108139
"Limch1";3,66737772495283e-05;-0,637012050254621;0,273;0,635;0,0288989364726283
"Crmp1";3,78222455964654e-05;-0,658996514029408;0,242;0,649;0,0298039295300147
"Tfap2c";4,02418710691207e-05;-0,637023634296681;0,273;0,622;0,0317105944024671
"Gpm6a";4,16534664494573e-05;-0,636838853161688;0,242;0,622;0,0328229315621724
"Cnih2";4,17861979985608e-05;-0,609754748159973;0,424;0,716;0,0329275240228659
"Pbk";4,26018316050809e-05;-0,694219666350418;0,182;0,595;0,0335702433048038
"Wnt8b";4,30015637660205e-05;-0,797101591157076;0,152;0,446;0,0338852322476242
"Sgol2a";4,58316950354552e-05;-0,7425543245103;0,152;0,459;0,0361153756879387
"Gdi1";4,66407480393441e-05;-0,53753057717239;0,758;0,919;0,0367529094550032
"Bcl11b";4,76972909683651e-05;-0,627777785985288;0,333;0,703;0,0375854652830717
"Dll1";4,95470211499833e-05;-0,657249754167143;0,182;0,662;0,0390430526661869
"Auts2";5,68468236038801e-05;-0,538682781410563;0,545;0,878;0,0447952969998576
"Ascl1";5,80469069461214e-05;-0,718706513062396;0,061;0,595;0,0457409626735436
"Ubn2";6,09733076487685e-05;-0,550751411215149;0,424;0,797;0,0480469664272295
"Ywhag";6,17661707068822e-05;-0,568769884145073;0,697;0,946;0,0486717425170232
"Actb";6,18526192725725e-05;-0,475277424659792;1;1;0,0487398639867871
"Slc7a5";6,40922157848182e-05;-0,578960001035593;0,364;0,73;0,0505046660384367
"Zic5";6,52222824414693e-05;-0,556887207002054;0,212;0,689;0,0513951585638778
"Txn1";6,99393473895712e-05;-0,465022126161853;0,727;0,973;0,0551122057429821
"Neurod6";7,10204013577471e-05;-0,802320947746265;0,212;0,568;0,0559640762699047
"Knstrn";7,23592381245904e-05;-1,01356984335424;0,03;0,581;0,0570190796421772
"2610203C20Rik";7,59449387915509e-05;-0,600389998281244;0,485;0,77;0,0598446117677421
"Spc25";8,54407971611117e-05;-0,80234272270834;0,273;0,514;0,067327348162956
"Tmeff1";0,000103880662950045;-0,540951560938504;0,273;0,689;0,0818579624046353
"Aurka";0,000106422580979836;-0,718831170725762;0,182;0,459;0,0838609938121107
"Mmp14";0,000106563104634895;-0,524194263840263;0,212;0,716;0,083971726452297
"Frmd4b";0,000108528657871726;-0,556430251241585;0,273;0,635;0,0855205824029202
"Nav1";0,00011655180597519;-0,631181170701608;0,242;0,527;0,0918428231084499
"Lmo4";0,000121284373641512;-0,594380258629879;0,576;0,784;0,0955720864295112
"Hmmr";0,000122246058692471;-0,727674375383629;0,121;0,432;0,0963298942496674
"Cbfa2t3";0,000127059545177229;-0,552911286626515;0,182;0,527;0,100122921599657
"Ubc";0,000128459033426217;-0,530768759650307;0,758;0,959;0,101225718339859
"Mllt11";0,000128522486388425;-0,542534187082686;0,303;0,676;0,101275719274079
"Csrnp3";0,000133593583974256;-0,585623979718357;0,061;0,514;0,105271744171714
"Vcan";0,000175687687769144;-0,609017640050299;0,212;0,514;0,138441897962085
"Cenpf";0,000206252668402583;-0,829480872910978;0,394;0,716;0,162527102701235
"Zfhx2";0,000212940036900184;-0,585976367067703;0,061;0,514;0,167796749077345
"Tsc22d1";0,000213211762288812;-0,514876826224673;0,758;0,959;0,168010868683584
"Olfm1";0,000222807601747839;-0,524804502410253;0,152;0,5;0,175572390177297
"Gapdh";0,000259327223466665;-0,396881952855402;1;1;0,204349852091732
"Cdk5r1";0,000283127717717262;-0,574172332263996;0,364;0,676;0,223104641561202
"Apc";0,000289598801380743;-0,499762208953515;0,303;0,676;0,228203855488025
"Lrrc58";0,000300371023615071;-0,468787876090678;0,97;1;0,236692366608676
"Foxo6";0,000307952673903904;-0,458204130673708;0,242;0,608;0,242666707036276
"Kif22";0,000317707488954515;-0,784311333035518;0,03;0,5;0,250353501296158
"Mdga1";0,000331844169911276;-0,545011239450924;0,273;0,568;0,261493205890085
"Abracl";0,000339949697949062;-0,511893466665419;0,394;0,73;0,267880361983861
"Ccng2";0,000359899331943937;-0,546329145512773;0,121;0,486;0,283600673571822
"Rpl7l1";0,000386519752812687;-0,454789714157392;0,303;0,622;0,304577565216397
"Tead2";0,000456571113382203;-0,466128949012036;0,515;0,811;0,359778037345176
"Sox1";0,00047748442205146;-0,618450627388929;0,424;0,608;0,376257724576551
"Palmd";0,000531564945207349;-0,709698091530379;0,03;0,459;0,418873176823391
"Xist";0,000544483822809994;-0,577009362515809;0,818;0,851;0,429053252374275
"Bhlhe22";0,000560634306292184;-0,578971746602141;0,182;0,405;0,441779833358241
"Cebpg";0,000561896269942836;-0,479437339150148;0,545;0,811;0,442774260714955
"Slbp";0,000574509470624279;-0,534740001690093;0,364;0,649;0,452713462851932
"Atad2";0,000583699603737458;-0,4899210987252;0,242;0,622;0,459955287745117
"Draxin";0,000597414379026106;-0,533294276432855;0,152;0,581;0,470762530672571
"Mis18bp1";0,000616506091759045;-0,599657792557538;0,333;0,541;0,485806800306127
"Tpm4";0,000628549599563193;-0,47651116456293;0,636;0,946;0,495297084455796
"Nrp1";0,000639533537506734;-0,47621958831827;0,212;0,514;0,503952427555307
"Hist3h2ba";0,000675804263860981;-0,422472381269248;0,152;0,486;0,532533759922453
"Tmem245";0,000781263140805858;-0,810756335981827;0,697;0,73;0,615635354955016
"Gpt2";0,000796881690160014;-0,456229673462056;0,121;0,486;0,627942771846091
"Cxcr4";0,000808871384608671;-0,506917217819385;0,091;0,392;0,637390651071633
"Dhfr";0,000894179081639087;-0,525630178898893;0,333;0,662;0,704613116331601
"Dbi";0,000999290537839336;-0,518605287277625;0,455;0,743;0,787440943817397
"Nap1l1";0,0011375588486613;-0,362913340186175;0,909;1;0,896396372745106
"Sez6";0,00115316764868721;-0,479522524181535;0,121;0,392;0,908696107165525
"App";0,00120751707466296;-0,455203482027915;0,636;0,838;0,951523454834413
"Arcn1";0,00123983223439263;-0,496350003634009;0,636;0,892;0,976987800701395
"Rmi2";0,00137104889666635;-0,602378511303696;0,636;0,865;1
"Uhrf1";0,00161700034999686;-0,467711886827908;0,424;0,703;1
"Cadm1";0,00163209367781503;-0,47529721961393;0,545;0,784;1
"Sorl1";0,0016321243540374;-0,421797889401073;0,273;0,514;1
"Trp53inp2";0,00167694036023588;-0,526005313670084;0,03;0,5;1
"Cxxc5";0,0017489084753067;-0,410440854488449;0,394;0,649;1
"Nhlh1";0,00179840967152363;-0,438149264897322;0,152;0,459;1
"Stmn3";0,00181647940954294;-0,441862062021067;0,212;0,473;1
"Snrk";0,00186038012440562;-0,407854842458809;0,061;0,419;1
"Pbx1";0,00186375225127773;-0,443626682367351;0,939;0,959;1
"Scd2";0,0019713579027409;-0,464440060770489;0,758;0,959;1
"Hells";0,0020307379671867;-0,471583871930772;0,303;0,757;1
"Phgdh";0,00246886001529273;-0,392173782814002;0,545;0,824;1
"Onecut2";0,00251762151734578;-0,384241141712241;0,212;0,5;1
