"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Mdk";0,000180827012767578;-0,578302542728025;0,909;0,986;0,142491686060852
"Cbfa2t3";0,000200913963221328;-0,546336820247754;0,182;0,527;0,158320203018407
"Sptbn1";0,000209663618784537;-0,557978591249557;0,333;0,689;0,165214931602215
"Actg1";0,00021756729608857;-0,492524211944623;0,97;1;0,171443029317793
"St8sia2";0,000231817917279233;-0,544730491322287;0,424;0,676;0,182672518816035
"Meg3";0,000236207014284507;-0,922682595780294;0,485;0,608;0,186131127256191
"Hmgb3";0,000256608266782923;-0,516516118650194;0,576;0,838;0,202207314224943
"Nrxn1";0,000259175592908984;-0,671913838584123;0,091;0,392;0,204230367212279
"Clmp";0,00029114222970152;-0,578931945596177;0,091;0,432;0,229420077004798
"Dusp8";0,000455341668429685;-0,578998886715741;0,152;0,419;0,358809234722592
"Rspo3";0,00050450809197858;-0,9935739960521;0,121;0,324;0,397552376479121
"Trp53inp1";0,00053859867933123;-0,493652850670621;0,394;0,676;0,424415759313009
"Pcdh7";0,000549869867421781;-0,538686203302466;0,152;0,432;0,433297455528364
"Noct";0,000553066751671548;-0,468973536895038;0,606;0,878;0,43581660031718
"Fabp5";0,000658382638800977;-0,517588932222964;0,576;0,892;0,51880551937517
"Mmp14";0,000671576873266666;-0,501479000427516;0,212;0,608;0,529202576134132
"Hrk";0,000673517350803936;-0,802325437136688;0,03;0,324;0,530731672433501
"Onecut2";0,000675322251062948;-0,489700744287907;0,212;0,527;0,532153933837603
"Snrk";0,000705866117094694;-0,489222635666555;0,061;0,459;0,556222500270619
"Calb2";0,000751538898630092;-0,796469580412895;0,03;0,324;0,592212652120512
"Slco2a1";0,000756065577949622;-0,78891297967124;0,303;0,486;0,595779675424302
"Dennd5b";0,000851893407351151;-0,456533900131447;0,182;0,743;0,671292004992707
"Limch1";0,000880461592726224;-0,534544817630051;0,273;0,554;0,693803735068264
"Tmem2";0,00092501179793519;-0,478266391045353;0,364;0,568;0,728909296772929
"Myt1l";0,00101195073715909;-0,615014097998085;0,03;0,459;0,797417180881362
"Palmd";0,00101391368435227;-0,629111741552634;0,03;0,432;0,798963983269593
"Rpl7l1";0,00110868848639158;-0,422842345387597;0,303;0,608;0,873646527276567
"Pou2f2";0,00116200939832427;-0,455268785675217;0,273;0,527;0,915663405879523
"Jph4";0,00119681540024729;-0,544580639370723;0,121;0,338;0,943090535394861
"Insm1";0,00124942430087576;-0,413424752554634;0,182;0,527;0,984546349090098
"Ucp2";0,00131823612986142;-0,433677117149156;0,121;0,432;1
"Ubc";0,00166393992741129;-0,410013046091099;0,758;0,986;1
"Ptprd";0,00175835589764846;-0,550924782237396;0,424;0,568;1
"Six3";0,00215823346476724;-0,643330538226108;0,242;0,378;1
"Dclk1";0,00258270595807773;-0,510060334653788;0,424;0,703;1
"Msi2";0,00262801394890862;-0,479536971715738;0,515;0,784;1
"Actb";0,00279447599436358;-0,373686237708539;1;1;1
"Nxph4";0,00298954918034907;-0,445363879892159;0,121;0,365;1
"Scd2";0,00303791468307775;-0,46027781038424;0,758;0,919;1
"Chl1";0,00390041333109441;-0,527818041878216;0,061;0,243;1
"Mfap4";0,00440839316645315;-0,45252935082038;0,152;0,392;1
"Plxna4";0,00462934273137616;-0,484981664873252;0,182;0,324;1
"Lhx1";0,00484469840932262;-0,571714408291733;0,03;0,216;1
"Foxo6";0,0053909547966451;-0,357096326099633;0,242;0,514;1
"Stat3";0,00541602479800162;-0,419049734714568;0,212;0,514;1
"Unc5d";0,00586575436410797;-0,384651361341189;0,03;0,351;1
"Runx1t1";0,00594447835663785;-0,39941484006723;0,061;0,27;1
"Usp29";0,00597238406264172;-0,384657910972326;0,03;0,351;1
"Fxyd6";0,00633894241791063;-0,43708763845567;0,424;0,554;1
"Ppia";0,00649532879452314;-0,380281613792565;0,97;0,986;1
"Slc25a5";0,0064972942657913;-0,358866273364534;0,758;0,919;1
"Flrt1";0,00701279969376875;-0,426518075551351;0,242;0,486;1
"2610203C20Rik";0,00732146106386869;-0,352463535625771;0,485;0,703;1
"Zic5";0,00735557268058772;-0,475994450513742;0,212;0,459;1
"Stmn4";0,00773872599159477;-0,424764440656731;0,061;0,23;1
"Slc6a6";0,00827309366997892;-0,400156444336294;0,424;0,622;1
"Enc1";0,00918922820524757;-0,44115819233905;0,485;0,689;1
"Myo10";0,0095448821398044;-0,346481197188603;0,152;0,432;1
"Rian";0,0113470634388265;-0,335259543420135;0,121;0,311;1
"Hes6";0,0114887182848943;-0,474993150915404;0,303;0,446;1
"Nell2";0,0116455311061563;-0,3492736088728;0,182;0,324;1
"Nkain3";0,0120943002680539;-0,387940010079117;0,303;0,473;1
"Cdh4";0,012567928979685;-0,373222733368305;0,152;0,324;1
"Tmsb4x";0,0128220688916351;-0,425884255250403;0,939;1;1
"Nrp1";0,0131179253499525;-0,338797883993892;0,212;0,392;1
"Fgfr1";0,0131697275221648;-0,378776812491352;0,364;0,554;1
"Slc38a2";0,0140112477093576;-0,318596334989319;0,667;0,784;1
"Kdm7a";0,0141910234766115;-0,372623922516672;0,333;0,622;1
"H2afx";0,014208577320292;-0,291116745605682;0,273;0,514;1
"Zfp462";0,0147311402269486;-0,378110543241163;0,485;0,851;1
"Lamb1";0,0147919147923588;-0,324720965847842;0,091;0,365;1
"Mapkbp1";0,0150367394456082;-0,307658589868925;0,152;0,392;1
"Rasgef1b";0,0152850491446803;-0,323943174669479;0,182;0,365;1
"Ddit4";0,015324592161519;-0,413433962765044;0,606;0,851;1
"Kif21a";0,0155602084175931;-0,34730094579558;0,485;0,824;1
"Ezh2";0,0160021102156882;-0,310845547288903;0,515;0,757;1
"Lrrc58";0,0162028048558158;-0,319852028739532;0,97;1;1
"Ascl1";0,0164993060074758;-0,319320427858048;0,061;0,216;1
"Tle1";0,0166124259279249;-0,334647123250901;0,273;0,486;1
"H1f0";0,0170376261317661;-0,353803921085279;0,697;0,932;1
"Six3os1";0,0182693240668034;-0,310574952921177;0,03;0,216;1
"Dcaf10";0,0186729588228847;-0,297543695296171;0,394;0,622;1
"Hmgcs1";0,0196397623987708;-0,371412126183336;0,697;0,743;1
"Btg2";0,019863777199576;-0,372597199920429;0,515;0,581;1
"Hmgb1";0,0203438355496982;-0,29402898122449;0,97;1;1
"Malat1";0,0210115892806993;-0,362447260357121;1;1;1
"Gabra2";0,0230782450706995;-0,415090108848309;0,182;0,351;1
"Hopx";0,0240416983269889;-0,300967510817151;0,03;0,189;1
"Arcn1";0,0240501249343593;-0,406769946386441;0,636;0,838;1
"Sox5";0,0244773056209571;-0,291156156473236;0,394;0,568;1
"Ntrk3";0,0256135855949904;-0,306869823850593;0,152;0,405;1
"Cdkn1c";0,0266197202831973;-0,451122904934824;0,333;0,676;1
"Stox2";0,0298553332923951;-0,3196877016275;0,636;0,77;1
"Hspa8";0,0321057354216116;-0,27890207550931;0,818;0,959;1
"Ube2s";0,0379369538404669;-0,300196809674051;0,576;0,784;1
"Peg3";0,0476205103494834;-0,310524697732421;0,242;0,527;1
"A430073D23Rik";0,0506665088597135;-0,405418224042622;0,727;0,757;1
"Foxg1";0,0546625304627929;-0,308923959879625;0,758;0,824;1
"Neurog2";0,0563558708270946;-0,428267809806581;0,303;0,676;1
"Rmi2";0,0593797378378737;-0,371110153965823;0,636;0,73;1
"Cd47";0,0697830308750317;-0,336076070629427;0,333;0,635;1
"Ckb";0,0721773341935214;-0,274254053123653;0,758;0,892;1
"Fezf2";0,0735603906159845;-0,301778461336603;0,485;0,595;1
"Itm2b";0,0837483788256836;-0,279962771434568;0,697;0,892;1
"Auts2";0,0865000281740398;-0,269088235981463;0,545;0,689;1
"RP23-233O21.6";0,099393754797899;-0,268803477796087;0,545;0,568;1
"Cadm1";0,106339904708673;-0,340881927630946;0,545;0,5;1
"Polr2l";0,106644835820704;-0,393738339486923;0,424;0,486;1
"RP23-341H2.4";0,111475735681429;-0,349465525329911;0,485;0,716;1
"Ccdc34";0,141091311227877;-0,265751546799891;0,545;0,527;1
"Mef2c";0,142426558595739;-0,30631612290035;0,121;0,311;1
"Xist";0,146732622195873;-0,27425461861397;0,818;0,73;1
"Dcaf17";0,149602113328445;-0,291556345489949;0,394;0,514;1
"Sema6a";0,164031340106496;-0,26784647877213;0,333;0,473;1
"Kif26a";0,227731711134519;-0,253609917101632;0,242;0,216;1
"Scg3";0,993860212998285;-0,984440048918569;0;0,757;1
"Fam110a";0,99389020685058;-0,92195609916036;0;0,608;1
"Pcp4";0,993903642265148;-0,894767412830983;0;0,473;1
"Pde2a";0,993906381500261;-0,889285557746252;0;0,459;1
"St18";0,993945060431568;-0,814123990414654;0;0,608;1
"Prdm8";0,99395142027465;-0,802169907356085;0;0,5;1
"Pou3f1";0,994209003435251;-0,41455373630462;0;0,257;1
