"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Mcm2";0,00658318598834645;-0,350153474389683;0,455;0,711;1
"Dync1i2";0,00672010493359588;-0,341725964050944;0,667;0,744;1
"Wnt7b";0,00685225166405748;-0,5059335354584;0,121;0,264;1
"Tenm4";0,00734798520855461;-0,389412104812056;0,424;0,719;1
"App";0,00741898953968741;-0,323888753713044;0,636;0,802;1
"Pura";0,00748558715208926;-0,351479978789692;0,545;0,818;1
"Acot1";0,00752786877161322;-0,369678026319798;0,273;0,57;1
"Foxm1";0,0075366473711843;-0,388957106342889;0,273;0,43;1
"Mthfd2";0,00789945698446981;-0,39371330849983;0,303;0,471;1
"Igfbpl1";0,00796746851680499;-0,410516282228697;0,303;0,62;1
"Mcm3";0,00801782229114355;-0,38789244425716;0,364;0,62;1
"Jade1";0,0080626114739882;-0,34635455434261;0,394;0,537;1
"Gja1";0,00809985356481786;-0,351300669144888;0,273;0,446;1
"Igfbp4";0,00856997534404473;-0,300169015170642;0,182;0,421;1
"Noct";0,00912410927869765;-0,270552676540136;0,606;0,868;1
"Tmeff1";0,00970513272369113;-0,314479105241444;0,273;0,562;1
"Ccnd1";0,0102054902301383;-0,414531655477473;0,273;0,529;1
"Atp1a2";0,0102056765746428;-0,532788020544443;0,091;0,215;1
"Nsg2";0,0104422256829105;-0,346214357264983;0,394;0,711;1
"Ednrb";0,0112090704564837;-0,711802035586234;0,121;0,207;1
"Gng2";0,0115720421964948;-0,317669334325341;0,576;0,579;1
"Rpsa";0,0118307083254191;-0,261344955345904;1;0,992;1
"H3f3b";0,0129326674513746;-0,29267214961856;0,939;0,992;1
"Zeb2";0,0129946625980313;-0,287233973742751;0,273;0,496;1
"Hspa8";0,0138921084028964;-0,312802756535243;0,818;0,967;1
"Pea15a";0,0144241636273638;-0,381643557514627;0,909;0,884;1
"Id2";0,0151810186700233;-0,360983377764616;0,303;0,529;1
"Lrrc58";0,0153678955007315;-0,30871257145512;0,97;1;1
"Erdr1";0,015971321630649;-0,364400632315261;0,485;0,702;1
"Sptbn1";0,016101462684941;-0,289179162743922;0,333;0,537;1
"Rnf165";0,0167594292908502;-0,297677404316442;0,333;0,545;1
"Hes6";0,0168068138038327;-0,355126842233354;0,303;0,479;1
"Cnih2";0,0168573141562991;-0,306681207591373;0,424;0,612;1
"Gria2";0,0169828939230147;-0,370598098523434;0,545;0,57;1
"Tgfb2";0,0171685679371561;-0,350264235469164;0,242;0,512;1
"Uhrf1";0,0171699209937775;-0,344794853857935;0,424;0,595;1
"Cxxc5";0,0177856312793074;-0,285948960920519;0,394;0,579;1
"Jun";0,0178852259594637;-0,319313094842559;0,576;0,843;1
"Fam162a";0,0187763420196092;-0,292708692581097;0,636;0,744;1
"Spc25";0,0189118644361989;-0,347866813026878;0,273;0,446;1
"Xist";0,0191326705606055;-0,382889464783792;0,818;0,785;1
"6330403K07Rik";0,0193957439685976;-0,270325385348928;0,394;0,496;1
"Gas2l3";0,0194028322108633;-0,331694394386904;0,091;0,248;1
"Ywhag";0,0196009456544636;-0,285246117666475;0,697;0,876;1
